tourney_id,tourney_name,surface,tourney_level,tourney_date,round,best_of,winner_id,loser_id,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_hand,loser_hand,winner_age,loser_age,winner_ht,loser_ht,winner_seeded,loser_seeded
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,102358,103096,4,56,2606,805,R,R,25.7,22,190,173,1,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,103017,101543,6,55,2447,814,R,L,22.4,31,183,180,1,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,103420,102338,123,2,374,3465,R,R,20.3,25.8,175,190,0,1
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,103819,102533,64,91,749,525,R,R,18.3,24.8,185,190,0,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,101750,102730,213,221,190,185,R,R,29.5,23.8,178,188,0,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,102455,102720,115,111,399,408,R,R,25.2,23.9,190,178,0,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,102998,101885,58,105,803,449,R,L,22.5,28.7,190,190,0,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,102644,101733,52,88,849,531,L,L,24.3,29.7,183,183,0,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,103206,102776,27,54,1298,845,R,R,21.5,23.6,175,180,1,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,102854,102831,44,92,950,520,R,R,23.2,23.4,193,173,1,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,101086,104156,96,1199,492,3,R,R,35.1,16.7,180,NA,1,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,102796,102401,15,154,1748,297,R,L,23.5,25.5,188,178,1,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,102148,102694,34,134,1055,341,R,R,27,24,178,183,1,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,102259,102689,35,201,1024,210,L,R,26.2,24,188,180,1,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,101735,101889,78,197,572,216,R,R,29.6,28.7,196,178,0,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,102770,102869,69,75,677,635,R,R,23.7,23.2,185,173,0,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,102966,102466,126,103,370,456,R,R,22.7,25.1,193,188,0,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,102872,101150,144,94,325,502,R,L,23.2,34.5,180,180,0,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,101969,102198,114,339,402,107,R,R,28.2,26.7,185,175,0,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,103252,102434,57,20,805,1542,R,R,21.3,25.4,175,183,0,1
2000-451,Doha,Hard,A,2000-01-03,R32,3,102567,102562,81,40,561,973,R,R,24.7,24.7,183,190,0,1
2000-891,Chennai,Hard,A,2000-01-03,R32,3,102965,101647,161,65,275,745,R,R,22.7,30.2,178,175,0,1
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,103720,101185,25,130,1429,362,R,L,18.8,34.2,180,188,1,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,101772,102271,217,36,188,1008,R,L,29.4,26.1,180,175,0,1
2000-891,Chennai,Hard,A,2000-01-03,R32,3,103082,102133,128,87,367,539,R,R,22.1,27.1,188,180,0,1
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,103162,101902,205,127,198,369,R,L,21.7,28.6,NA,180,0,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,102025,101964,79,62,564,772,R,L,27.8,28.2,185,193,0,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,102494,102880,119,125,389,371,R,R,25,23.1,193,201,0,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,102652,102834,230,89,179,531,L,R,24.3,23.3,183,178,0,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,103292,102023,72,181,640,236,R,R,21,27.8,175,190,0,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,103181,102982,160,239,282,173,R,R,21.6,22.6,185,NA,0,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,101727,103103,80,21,562,1499,R,R,29.7,21.9,185,183,0,1
2000-451,Doha,Hard,A,2000-01-03,R32,3,101962,102179,33,83,1068,548,R,R,28.2,26.8,193,185,1,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,102538,102087,164,132,272,351,R,R,24.8,27.4,185,193,0,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,102765,103385,37,654,995,24,R,R,23.7,20.5,185,183,1,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,101888,102950,43,49,953,875,R,R,28.7,22.8,190,180,1,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,103714,101826,98,116,486,397,L,R,18.8,29,180,175,1,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,101792,103344,63,77,763,581,R,R,29.3,20.7,183,193,0,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,102783,101439,48,281,881,136,R,R,23.6,31.9,180,178,0,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,102106,102437,120,100,388,478,R,R,27.3,25.3,188,185,0,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,103444,101833,138,351,336,103,R,L,20.2,29,173,190,0,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,103018,103264,74,101,637,464,R,L,22.4,21.2,196,180,0,0
2000-891,Chennai,Hard,A,2000-01-03,R32,3,102233,102369,142,133,326,342,R,R,26.5,25.7,178,190,0,0
2000-339,Adelaide,Hard,A,2000-01-03,R32,3,102450,102607,12,216,1920,188,R,R,25.3,24.5,185,190,1,0
2000-451,Doha,Hard,A,2000-01-03,R32,3,102548,102456,70,22,661,1458,R,R,24.8,25.2,175,180,0,1
2000-891,Chennai,Hard,A,2000-01-03,R32,3,101611,103544,13,420,1814,75,R,R,30.5,19.7,188,180,1,0
2000-339,Adelaide,Hard,A,2000-01-03,R16,3,102358,103819,4,64,2606,749,R,R,25.7,18.3,190,185,1,0
2000-451,Doha,Hard,A,2000-01-03,R16,3,103017,101750,6,213,2447,190,R,R,22.4,29.5,183,178,1,0
2000-891,Chennai,Hard,A,2000-01-03,R16,3,102455,103420,115,123,399,374,R,R,25.2,20.3,190,175,0,0
