"year","accuracy","n_matches"
2000,0.614839901477833,3248
2001,0.63023679417122,3294
2002,0.640438568203805,3101
2003,0.652878888153541,3022
2004,0.645383411580595,3195
2005,0.663841807909605,3186
2006,0.660809538751177,3187
2007,0.6753125,3200
2008,0.671288468041934,2957
2009,0.682,3000
2010,0.685983827493261,2968
2011,0.678243105209397,2937
2012,0.699100299900033,3001
2013,0.670855148342059,2865
2014,0.684458968772694,2754
2015,0.688,2875
2016,0.68136063866713,2881
2017,0.657692307692308,2860
2018,0.643318599115947,2941
