"test_year","n_train","n_test","accuracy","logloss","brier","Model"
2004,3022,3195,0.790610328638498,0.353926696743535,0.122925695316578,"Original rolling logistic regression"
2005,6217,3186,0.800062774639046,0.340413468530201,0.118360599064658,"Original rolling logistic regression"
2006,9403,3187,0.788515845622843,0.361191129576955,0.1256243362439,"Original rolling logistic regression"
2007,9568,3200,0.79375,0.357108424785438,0.123272623021196,"Original rolling logistic regression"
2008,9573,2957,0.805207981061887,0.351924485781381,0.12079220828686,"Original rolling logistic regression"
2009,9344,3000,0.789333333333333,0.38682494857818,0.129582534887938,"Original rolling logistic regression"
2010,9157,2968,0.797169811320755,0.362721452650002,0.125538134771648,"Original rolling logistic regression"
2011,8925,2937,0.804562478719782,0.354567034685922,0.121560829630791,"Original rolling logistic regression"
2012,8905,3001,0.802732422525825,0.344230684416986,0.119682120654111,"Original rolling logistic regression"
2013,8906,2865,0.799301919720768,0.352041902903849,0.121844960173309,"Original rolling logistic regression"
2014,8803,2754,0.807552650689906,0.359405885280714,0.12415577017387,"Original rolling logistic regression"
2015,8620,2875,0.804173913043478,0.349502546734704,0.12004159971294,"Original rolling logistic regression"
2016,8494,2881,0.801110725442555,0.346403226406195,0.120166616541895,"Original rolling logistic regression"
2017,8510,2860,0.792657342657343,0.372675162604607,0.127858670003759,"Original rolling logistic regression"
2018,8616,2941,0.791567494049643,0.361534384514563,0.125980336973298,"Original rolling logistic regression"
2019,8682,2680,0.778731343283582,0.372904580545391,0.128837936265755,"Original rolling logistic regression"
2004,3022,3195,0.795305164319249,0.351147152182995,0.12151733993239,"Lag-enhanced rolling logistic regression"
2005,6217,3186,0.802887633396108,0.339858049949545,0.117970540859549,"Lag-enhanced rolling logistic regression"
2006,9403,3187,0.786319422654534,0.360585820775866,0.125379739453146,"Lag-enhanced rolling logistic regression"
2007,9568,3200,0.8003125,0.356860977535339,0.123011446060953,"Lag-enhanced rolling logistic regression"
2008,9573,2957,0.809942509299966,0.350827329100128,0.120405103023645,"Lag-enhanced rolling logistic regression"
2009,9344,3000,0.792333333333333,0.383410584506725,0.128648833274582,"Lag-enhanced rolling logistic regression"
2010,9157,2968,0.798517520215633,0.359432280519138,0.124036978482674,"Lag-enhanced rolling logistic regression"
2011,8925,2937,0.809329247531495,0.35255805946568,0.120680372088888,"Lag-enhanced rolling logistic regression"
2012,8905,3001,0.805064978340553,0.342763860259729,0.118930591251003,"Lag-enhanced rolling logistic regression"
2013,8906,2865,0.803839441535777,0.349458323053276,0.120381440382665,"Lag-enhanced rolling logistic regression"
2014,8803,2754,0.802106027596224,0.356636880774458,0.123055385886494,"Lag-enhanced rolling logistic regression"
2015,8620,2875,0.805913043478261,0.348272995492923,0.119363791732042,"Lag-enhanced rolling logistic regression"
2016,8494,2881,0.800763623741756,0.345367793981772,0.11970946723837,"Lag-enhanced rolling logistic regression"
2017,8510,2860,0.792307692307692,0.370448664553348,0.126801477630156,"Lag-enhanced rolling logistic regression"
2018,8616,2941,0.798707922475348,0.360550589199791,0.125456749054404,"Lag-enhanced rolling logistic regression"
2019,8682,2680,0.783955223880597,0.371548517656191,0.128227610765476,"Lag-enhanced rolling logistic regression"
