"test_year","n_train","n_test","accuracy","logloss","brier"
2004,3022,3195,0.795305164319249,0.351147152182995,0.12151733993239
2005,6217,3186,0.802887633396108,0.339858049949545,0.117970540859549
2006,9403,3187,0.786319422654534,0.360585820775866,0.125379739453146
2007,9568,3200,0.8003125,0.356860977535339,0.123011446060953
2008,9573,2957,0.809942509299966,0.350827329100128,0.120405103023645
2009,9344,3000,0.792333333333333,0.383410584506725,0.128648833274582
2010,9157,2968,0.798517520215633,0.359432280519138,0.124036978482674
2011,8925,2937,0.809329247531495,0.35255805946568,0.120680372088888
2012,8905,3001,0.805064978340553,0.342763860259729,0.118930591251003
2013,8906,2865,0.803839441535777,0.349458323053276,0.120381440382665
2014,8803,2754,0.802106027596224,0.356636880774458,0.123055385886494
2015,8620,2875,0.805913043478261,0.348272995492923,0.119363791732042
2016,8494,2881,0.800763623741756,0.345367793981772,0.11970946723837
2017,8510,2860,0.792307692307692,0.370448664553348,0.126801477630156
2018,8616,2941,0.798707922475348,0.360550589199791,0.125456749054404
2019,8682,2680,0.783955223880597,0.371548517656191,0.128227610765476
