"test_year","n_train","n_test","accuracy","logloss","brier","window_years"
2001,3248,3294,0.780510018214936,0.366038459610968,0.127959872503731,1
2002,3294,3101,0.786520477265398,0.361535829461968,0.125213701345224,1
2003,3101,3022,0.798146922567836,0.354398936939497,0.123359507762196,1
2004,3022,3195,0.790610328638498,0.353926696743535,0.122925695316578,1
2005,3195,3186,0.800062774639046,0.342558349747642,0.119169312969731,1
2006,3186,3187,0.777533730781299,0.363065846420943,0.12629733834377,1
2007,3187,3200,0.7940625,0.356733053485773,0.123328120183965,1
2008,3200,2957,0.805546161650321,0.351257964425092,0.120677990736666,1
2009,2957,3000,0.789333333333333,0.385558948680453,0.129770264213685,1
2010,3000,2968,0.794811320754717,0.364384173346997,0.12585906763357,1
2011,2968,2937,0.804562478719782,0.355733223770592,0.121959666367263,1
2012,2937,3001,0.798733755414862,0.345931410631457,0.120906817094514,1
2013,3001,2865,0.799301919720768,0.353629551893095,0.122013180480535,1
2014,2865,2754,0.805010893246187,0.362202590912306,0.124987621809153,1
2015,2754,2875,0.804173913043478,0.375662723160584,0.121588165603915,1
2016,2875,2881,0.801457827143353,0.348057140095326,0.120163860207435,1
2017,2881,2860,0.792657342657343,0.374091974113415,0.128139125372099,1
2018,2860,2941,0.791567494049643,0.365309794172986,0.127418383022067,1
2019,2941,2680,0.778731343283582,0.375525412764408,0.128872666444389,1
2002,6542,3101,0.786520477265398,0.361270346877724,0.125142717687018,2
2003,6395,3022,0.797816015883521,0.354670164682085,0.123606898648453,2
2004,6123,3195,0.796870109546166,0.352536287010346,0.122252050667834,2
2005,6217,3186,0.800062774639046,0.340413468530201,0.118360599064658,2
2006,6381,3187,0.786946972074051,0.3612987184552,0.125609606086757,2
2007,6373,3200,0.79375,0.35705274134126,0.123353628632211,2
2008,6387,2957,0.805207981061887,0.351808211231106,0.120883394361058,2
2009,6157,3000,0.789333333333333,0.386522801757903,0.129651616815524,2
2010,5957,2968,0.797169811320755,0.362213278570701,0.125316011266687,2
2011,5968,2937,0.804562478719782,0.355130727286351,0.121784387986186,2
2012,5905,3001,0.802732422525825,0.343728421417429,0.119965009484986,2
2013,5938,2865,0.799301919720768,0.351393282486917,0.121595595085685,2
2014,5866,2754,0.807552650689906,0.359389713615476,0.123903819276253,2
2015,5619,2875,0.804173913043478,0.349164229532516,0.120028761624434,2
2016,5629,2881,0.801110725442555,0.346602957013002,0.120356785460763,2
2017,5756,2860,0.792657342657343,0.37307332353463,0.127963514648009,2
2018,5741,2941,0.791567494049643,0.362122529984799,0.126243497264913,2
2019,5801,2680,0.778731343283582,0.373221073989619,0.129080863388927,2
2003,9643,3022,0.798146922567836,0.354197135714465,0.123329374123785,3
2004,9417,3195,0.796870109546166,0.352259664013182,0.122140674391085,3
2005,9318,3186,0.800062774639046,0.340840250406897,0.118486791441958,3
2006,9403,3187,0.788515845622843,0.361191129576955,0.1256243362439,3
2007,9568,3200,0.79375,0.357108424785438,0.123272623021196,3
2008,9573,2957,0.805207981061887,0.351924485781381,0.12079220828686,3
2009,9344,3000,0.789333333333333,0.38682494857818,0.129582534887938,3
2010,9157,2968,0.797169811320755,0.362721452650002,0.125538134771648,3
2011,8925,2937,0.804562478719782,0.354567034685922,0.121560829630791,3
2012,8905,3001,0.802732422525825,0.344230684416986,0.119682120654111,3
2013,8906,2865,0.799301919720768,0.352041902903849,0.121844960173309,3
2014,8803,2754,0.807552650689906,0.359405885280714,0.12415577017387,3
2015,8620,2875,0.804173913043478,0.349502546734704,0.12004159971294,3
2016,8494,2881,0.801110725442555,0.346403226406195,0.120166616541895,3
2017,8510,2860,0.792657342657343,0.372675162604607,0.127858670003759,3
2018,8616,2941,0.791567494049643,0.361534384514563,0.125980336973298,3
2019,8682,2680,0.778731343283582,0.372904580545391,0.128837936265755,3
2004,12665,3195,0.795618153364632,0.352161417695003,0.122076223852106,4
2005,12612,3186,0.800062774639046,0.341236937398351,0.118643950822268,4
2006,12504,3187,0.786946972074051,0.360461263282534,0.125401001610632,4
2007,12590,3200,0.7940625,0.35716877648854,0.123352333318858,4
2008,12768,2957,0.80622252282719,0.35192014364121,0.120718849475007,4
