"test_year","n_train","n_test","accuracy","logloss","brier"
2003,9643,3022,0.798146922567836,0.354197135714465,0.123329374123785
2004,9417,3195,0.796870109546166,0.352259664013182,0.122140674391085
2005,9318,3186,0.800062774639046,0.340840250406897,0.118486791441958
2006,9403,3187,0.788515845622843,0.361191129576955,0.1256243362439
2007,9568,3200,0.79375,0.357108424785438,0.123272623021196
2008,9573,2957,0.805207981061887,0.351924485781381,0.12079220828686
2009,9344,3000,0.789333333333333,0.38682494857818,0.129582534887938
2010,9157,2968,0.797169811320755,0.362721452650002,0.125538134771648
2011,8925,2937,0.804562478719782,0.354567034685922,0.121560829630791
2012,8905,3001,0.802732422525825,0.344230684416986,0.119682120654111
2013,8906,2865,0.799301919720768,0.352041902903849,0.121844960173309
2014,8803,2754,0.807552650689906,0.359405885280714,0.12415577017387
2015,8620,2875,0.804173913043478,0.349502546734704,0.12004159971294
2016,8494,2881,0.801110725442555,0.346403226406195,0.120166616541895
2017,8510,2860,0.792657342657343,0.372675162604607,0.127858670003759
2018,8616,2941,0.791567494049643,0.361534384514563,0.125980336973298
2019,8682,2680,0.778731343283582,0.372904580545391,0.128837936265755
